Producto,Modulo,Sector,Modulacion,Qty_fija_modulo
C10-2MTS-TENSALONA 2M-M1,C10-2MTS-M1,Planta,2,2
C10-2MTS-TENSALATERALES 2M-M1,C10-2MTS-M1,Planta,2,2
C10-2MTS-TENSALONA 2M-M2,C10-2MTS-M2,Planta,2,2
C10-2MTS-TENSALATERALES 2M-M2,C10-2MTS-M2,Planta,2,2
C10-2MTS-TENSALONA 3M-M3,C10-2MTS-M3,Planta,2,2
C10-2MTS-TENSALATERALES 3M-M3,C10-2MTS-M3,Planta,2,2
C10-3MTS-TENSALONA 3M-M1,C10-3MTS-M1,Planta,2,2
C10-3MTS-TENSALATERALES 3M-M1,C10-3MTS-M1,Planta,2,2
C10-3MTS-TENSALONA 3M-M2,C10-3MTS-M2,Planta,2,2
C10-3MTS-TENSALATERALES 3M-M2,C10-3MTS-M2,Planta,2,2
C10-3MTS-TENSALONA 3M-M3,C10-3MTS-M3,Planta,2,2
C10-3MTS-TENSALATERALES 3M-M3,C10-3MTS-M3,Planta,2,2
C10-L2-RL-C10-L2-M1,C10-L2-M1,Planta,5,3
C10-L2-RF-C10-L2-M1,C10-L2-M1,Planta,5,2
C10-L2-TENSALONA-M1,C10-L2-M1,Planta,5,2
C10-L2-TENSALATERALES-M1,C10-L2-M1,Planta,5,2
C10-L2-RL-C10-L2-M2,C10-L2-M2,Planta,5,3
C10-L2-RF-C10-L2-M2,C10-L2-M2,Planta,5,2
C10-L2-TENSALONA-M2,C10-L2-M2,Planta,5,2
C10-L2-TENSALATERALES-M2,C10-L2-M2,Planta,5,2
C10-L2-RL-C10-L2-M3,C10-L2-M3,Planta,5,3
C10-L2-RF-C10-L2-M3,C10-L2-M3,Planta,5,2
C10-L2-TENSALONA-M3,C10-L2-M3,Planta,5,2
C10-L2-TENSALATERALES-M3,C10-L2-M3,Planta,5,2
C10-L2-RL-C10-L2-M4,C10-L2-M4,Planta,5,3
C10-L2-RF-C10-L2-M4,C10-L2-M4,Planta,5,2
C10-L2-TENSALONA-M4,C10-L2-M4,Planta,5,2
C10-L2-TENSALATERALES-M4,C10-L2-M4,Planta,5,2
C10-L2-RL-C10-L2-M5,C10-L2-M5,Planta,5,3
C10-L2-RF-C10-L2-M5,C10-L2-M5,Planta,5,2
C10-L2-TENSALONA-M5,C10-L2-M5,Planta,5,2
C10-L2-TENSALATERALES-M5,C10-L2-M5,Planta,5,2
C10-L2-RL-C10-L2-M6,C10-L2-M6,Planta,5,3
C10-L2-RF-C10-L2-M6,C10-L2-M6,Planta,5,2
C10-L2-TENSALONA-M6,C10-L2-M6,Planta,5,2
C10-L2-TENSALATERALES-M6,C10-L2-M6,Planta,5,2
C10-L3-RL-C10-L3-M1,C10-L3-M1,Planta,5,3
C10-L3-RF-C10-L3-M1,C10-L3-M1,Planta,5,2
C10-L3-TENSALONA-M1,C10-L3-M1,Planta,5,2
C10-L3-TENSALATERALES-M1,C10-L3-M1,Planta,5,2
C10-L3-RL-C10-L3-M2,C10-L3-M2,Planta,5,3
C10-L3-RF-C10-L3-M2,C10-L3-M2,Planta,5,2
C10-L3-TENSALONA-M2,C10-L3-M2,Planta,5,2
C10-L3-TENSALATERALES-M2,C10-L3-M2,Planta,5,2
C10-L3-RL-C10-L3-M3,C10-L3-M3,Planta,5,3
C10-L3-RF-C10-L3-M3,C10-L3-M3,Planta,5,2
C10-L3-TENSALONA-M3,C10-L3-M3,Planta,5,2
C10-L3-TENSALATERALES-M3,C10-L3-M3,Planta,5,2
C10-L3-RL-C10-L3-M4,C10-L3-M4,Planta,5,3
C10-L3-RF-C10-L3-M4,C10-L3-M4,Planta,5,2
C10-L3-TENSALONA-M4,C10-L3-M4,Planta,5,2
